employee_id,first_name,age,gender,department,job_level,years_experience,salary,bonus_percent,performance_score,source_file
GEN_1000,,27.0,Other,Finance,,,57990.0,7.98,,employees_cleaned_data.csv
GEN_1001,,42.0,Other,Engineering,,,137332.0,19.73,,employees_cleaned_data.csv
GEN_1002,,42.0,Female,Sales,,,82327.0,13.14,,employees_cleaned_data.csv
GEN_1003,,24.0,Other,Sales,,,62983.0,15.3,,employees_cleaned_data.csv
GEN_1004,,35.0,Female,Finance,,,52669.0,17.02,,employees_cleaned_data.csv
GEN_1005,,52.0,Other,Marketing,,,87505.0,10.61,,employees_cleaned_data.csv
GEN_1006,,26.0,Female,Operations,,,98703.0,19.08,,employees_cleaned_data.csv
GEN_1007,,31.0,Other,Sales,,,110404.0,9.68,,employees_cleaned_data.csv
GEN_1008,,26.0,Female,Marketing,,,34426.0,19.93,,employees_cleaned_data.csv
GEN_1009,,53.0,Female,Finance,,,120900.0,6.88,,employees_cleaned_data.csv
GEN_1010,,28.0,Female,Marketing,,,107811.0,11.76,,employees_cleaned_data.csv
GEN_1011,,24.0,Female,Finance,,,127136.0,14.25,,employees_cleaned_data.csv
GEN_1012,,44.0,Male,Marketing,,,129942.0,18.53,,employees_cleaned_data.csv
GEN_1013,,49.0,Male,HR,,,81813.0,8.65,,employees_cleaned_data.csv
GEN_1014,,29.0,Male,Engineering,,,37967.0,15.98,,employees_cleaned_data.csv
GEN_1015,,45.0,Male,Engineering,,,35656.0,19.24,,employees_cleaned_data.csv
GEN_1016,,55.0,Other,Sales,,,84306.0,16.84,,employees_cleaned_data.csv
GEN_1017,,25.0,Other,HR,,,49008.0,7.94,,employees_cleaned_data.csv
GEN_1018,,24.0,Female,Finance,,,35439.0,7.8,,employees_cleaned_data.csv
GEN_1019,,38.0,Male,Finance,,,108040.0,16.78,,employees_cleaned_data.csv
GEN_1020,,44.0,Other,Engineering,,,117265.0,18.04,,employees_cleaned_data.csv
GEN_1021,,48.0,Other,Finance,,,47908.0,18.99,,employees_cleaned_data.csv
GEN_1022,,33.0,Male,Finance,,,37016.0,5.17,,employees_cleaned_data.csv
GEN_1023,,29.0,Male,Operations,,,144397.0,14.54,,employees_cleaned_data.csv
GEN_1024,,40.0,Female,Operations,,,105054.0,11.98,,employees_cleaned_data.csv
GEN_1025,,43.0,Female,Finance,,,112594.0,9.92,,employees_cleaned_data.csv
GEN_1026,,30.0,Female,Sales,,,46087.0,6.82,,employees_cleaned_data.csv
GEN_1027,,33.0,Female,Sales,,,102805.0,10.95,,employees_cleaned_data.csv
GEN_1028,,47.0,Male,HR,,,91440.0,7.39,,employees_cleaned_data.csv
GEN_1029,,56.0,Male,Engineering,,,46566.0,13.82,,employees_cleaned_data.csv
GEN_1030,,39.0,Female,Engineering,,,51607.0,5.69,,employees_cleaned_data.csv
GEN_1031,,23.0,Male,Finance,,,52736.0,14.84,,employees_cleaned_data.csv
GEN_1032,,37.0,Male,Operations,,,86492.0,13.24,,employees_cleaned_data.csv
GEN_1033,,52.0,Female,Sales,,,134859.0,12.35,,employees_cleaned_data.csv
GEN_1034,,55.0,Female,Marketing,,,96852.0,15.72,,employees_cleaned_data.csv
GEN_1035,,29.0,Other,Sales,,,58854.0,17.86,,employees_cleaned_data.csv
GEN_1036,,32.0,Female,HR,,,52746.0,10.26,,employees_cleaned_data.csv
GEN_1037,,34.0,Female,Sales,,,85220.0,5.57,,employees_cleaned_data.csv
GEN_1038,,28.0,Other,Operations,,,105948.0,11.94,,employees_cleaned_data.csv
GEN_1039,,51.0,Male,HR,,,67713.0,13.53,,employees_cleaned_data.csv
GEN_1040,,27.0,Other,HR,,,83330.0,18.57,,employees_cleaned_data.csv
GEN_1041,,46.0,Male,Finance,,,110909.0,19.42,,employees_cleaned_data.csv
GEN_1042,,53.0,Other,Engineering,,,133358.0,15.41,,employees_cleaned_data.csv
